Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019-08-15,1.09098,,,,,,2.36548,12.45653,26.20564,45.2087,49.15915,38.87199,26.27912,18.88086,28.88342,33.48856,11.35265,17.53501,21.66707,22.21037,15.52019,5.05443,2.9754,2.9754
2019-08-16,,,,,,0.65802,15.33567,12.58644,8.97462,21.04041,27.6628,12.5808,19.85286,27.11095,24.58746,23.647,24.20457,14.75037,21.61764,28.28678,22.43793,11.64001,2.8553,
2019-08-17,,,,,,,,1.8427,7.01785,15.82632,13.14811,8.51004,19.44287,35.16806,20.77373,4.29722,10.38934,14.49183,9.13261,17.39838,20.93451,11.91662,7.87796,0.90342
2019-08-18,,,,,,,,5.41712,17.2308,17.2308,16.7342,19.88114,26.4458,19.36704,8.3292,6.17403,16.12572,11.4962,19.37401,17.65835,10.6314,4.52254,2.7987,
2019-08-19,,,,,,1.45754,5.07527,13.79708,14.91348,19.41258,15.9626,14.15435,8.73239,8.75826,1.6821,2.79027,8.74108,6.02856,15.51967,13.22196,8.796,0.99231,,
2019-08-20,,,,,0.39876,8.16658,14.01526,18.10653,15.65363,24.60218,16.91598,9.52437,9.40817,20.81916,20.1348,21.3145,21.91067,28.16057,33.78219,23.45344,12.06021,5.352,1.784,
2019-08-21,1.1165,,,,,6.37465,13.08308,17.11737,21.67788,27.03149,35.81116,34.40093,32.55478,22.98001,9.7728,13.91932,12.44056,24.0624,25.18104,28.68657,20.7274,15.5797,8.66384,2.1315
2019-08-22,,,,,0.07794,12.87506,12.37605,8.24048,7.99865,20.76064,27.70242,35.34271,34.94508,32.60269,35.82008,18.92719,15.20964,14.80988,10.25681,19.67587,21.98353,16.6354,8.30207,
2019-08-23,,,,,,1.78372,11.523,5.16283,5.9025,22.53895,29.30887,33.14304,22.3167,12.70836,7.9537,4.09363,4.55253,10.19904,23.21704,19.39568,6.64602,,,
2019-08-24,,,,,,,,3.46596,8.10662,8.2572,13.65524,15.73379,16.15127,25.25601,15.57916,6.69983,3.70211,16.84966,34.76409,25.45263,12.00441,8.17605,0.13824,
